|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
992|4.500 Seats|Qabala City Stadium|34|Ä450k|Free transfer|0|Ä1.33m|Ä-1.33m
993|11.000 Seats|Bakcell Arena|32|Ä200k|Free transfer|0|Ä200k|Ä-200k
994|31.200 Seats|Tofiq Bahramov Stadion|31|Ä680k|Free transfer|0|Ä680k|Ä-680k
995|4.500 Seats|Qabala City Stadium|38|Ä383k|Free transfer|0|Ä683k|Ä-683k
996|31.200 Seats|Tofiq Bahramov Stadion|31|Ä800k|Free transfer|0|Ä800k|Ä-800k
997|11.000 Seats|Bakcell Arena|34|?|Free transfer|0|0|0
998|4.500 Seats|Qabala City Stadium|35|Free transfer|Free transfer|0|0|0
999|31.200 Seats|Tofiq Bahramov Stadion|36|Free transfer|Free transfer|0|0|0
1000|11.000 Seats|Bakcell Arena|33|Free transfer|Free transfer|0|0|0
1001|31.200 Seats|Tofiq Bahramov Stadion|33|Free transfer|Ä500k|Ä500k|0|+Ä500k
1002|4.500 Seats|Qabala City Stadium|37|Ä383k|Free transfer|0|Ä437k|Ä-437k
1003|11.000 Seats|Bakcell Arena|45|Ä15k|Ä54k|Ä54k|Ä15k|+Ä39k
1004|31.200 Seats|Tofiq Bahramov Stadion|41|Ä800k|Ä650k|Ä650k|Ä800k|Ä-150k
1005|4.500 Seats|Qabala City Stadium|42|Free transfer|Free transfer|0|0|0
1006|11.000 Seats|Bakcell Arena|38|Free transfer|Free transfer|0|0|0
1007|31.200 Seats|Tofiq Bahramov Stadion|31|Ä1.00m|Free transfer|0|Ä1.17m|Ä-1.17m
1008|11.000 Seats|Bakcell Arena|42|Ä50k|Ä130k|Ä130k|Ä50k|+Ä80k
1009|4.500 Seats|Qabala City Stadium|34|Ä350k|Free transfer|0|Ä350k|Ä-350k
1010|30.000 Seats|Astana Arena|22|Ä2.00m|Ä90k|Ä90k|Ä2.25m|Ä-2.16m
1011|23.804 Seats|Zentralstadion Almaty|25|Ä1.00m|Free transfer|0|Ä1.48m|Ä-1.48m
1012|8.050 Seats|Zentralstadion  Kostanay|27|Ä20k|Free transfer|0|Ä20k|Ä-20k
1013|20.000 Seats|Kazhimukan Munaytpasov Stadion|26|Ä50k|Free transfer|0|Ä50k|Ä-50k
1014|19.500 Seats|Zentralstadion Shakhter|24|Free transfer|Free transfer|0|0|0
1015|11.828 Seats|Zentralstadion Pavlodar|23|Ä71k|Free transfer|0|Ä71k|Ä-71k
1016|30.000 Seats|Astana Arena|22|Ä2.00m|Ä90k|Ä90k|Ä2.25m|Ä-2.16m
1017|23.804 Seats|Zentralstadion Almaty|25|Ä1.00m|Free transfer|0|Ä1.48m|Ä-1.48m
1018|8.050 Seats|Zentralstadion  Kostanay|27|Ä20k|Free transfer|0|Ä20k|Ä-20k
1019|20.000 Seats|Kazhimukan Munaytpasov Stadion|26|Ä50k|Free transfer|0|Ä50k|Ä-50k
1020|19.500 Seats|Zentralstadion Shakhter|24|Free transfer|Free transfer|0|0|0
1021|11.828 Seats|Zentralstadion Pavlodar|23|Ä71k|Free transfer|0|Ä71k|Ä-71k
1022|8.050 Seats|Zentralstadion  Kostanay|46|Free transfer|Free transfer|0|0|0
1023|30.000 Seats|Astana Arena|28|Ä70k|Ä50k|Ä50k|Ä70k|Ä-20k
1024|11.828 Seats|Zentralstadion Pavlodar|42|Free transfer|Free transfer|0|0|0
1025|19.500 Seats|Zentralstadion Shakhter|36|Free transfer|Free transfer|0|0|0
1026|23.804 Seats|Zentralstadion Almaty|36|Free transfer|Free transfer|0|0|0
1027|20.000 Seats|Kazhimukan Munaytpasov Stadion|26|Free transfer|Free transfer|0|0|0
1028|30.000 Seats|Astana Arena|28|Ä120k|Free transfer|0|Ä120k|Ä-120k
1029|23.804 Seats|Zentralstadion Almaty|38|Free transfer|Free transfer|0|0|0
